,time,low,high,open,close,volume
287,17:00:00,10232.72,10246.25,10236.49,10234.77,12.52335087
286,17:05:00,10234.76,10247.3,10234.77,10239.98,18.59330016
285,17:10:00,10225.98,10239.45,10239.45,10226.02,16.05675929
284,17:15:00,10180.35,10226.01,10226.01,10196.1,32.83006193
283,17:20:00,10186.63,10222.13,10195.0,10215.66,85.64186313
282,17:25:00,10205.19,10219.64,10218.38,10208.35,12.43466569
281,17:30:00,10186.76,10210.08,10207.9,10194.99,35.39070392
280,17:35:00,10177.04,10194.74,10194.74,10183.74,7.09087158
279,17:40:00,10182.01,10200.0,10186.4,10198.98,43.72203217
278,17:45:00,10194.96,10218.33,10198.97,10212.16,38.41274517
277,17:50:00,10189.23,10214.01,10211.32,10202.13,20.75282228
276,17:55:00,10202.12,10236.0,10202.13,10230.82,43.89776911
275,18:00:00,10230.81,10260.96,10230.82,10245.41,104.59644956
274,18:05:00,10240.83,10272.82,10245.98,10271.04,34.46994356
273,18:10:00,10264.58,10277.99,10272.62,10273.69,50.66136786
272,18:15:00,10231.14,10284.02,10273.69,10242.81,49.36818942
271,18:20:00,10228.0,10247.84,10241.26,10231.14,32.94762476
270,18:25:00,10227.85,10256.74,10229.81,10243.93,16.03199581
269,18:30:00,10233.85,10255.45,10243.94,10255.45,14.86048101
268,18:35:00,10240.95,10258.37,10255.44,10244.35,21.33913983
267,18:40:00,10223.18,10243.61,10243.61,10223.18,10.67991912
266,18:45:00,10229.35,10242.71,10229.97,10239.98,7.72692843
265,18:50:00,10214.68,10241.89,10239.98,10218.42,23.93464061
264,18:55:00,10219.18,10243.79,10219.18,10235.04,12.99119188
263,19:00:00,10229.05,10242.99,10235.03,10236.13,8.85994762
262,19:05:00,10227.57,10242.45,10236.86,10237.32,11.49760639
261,19:10:00,10236.74,10251.95,10238.54,10248.07,12.30360677
260,19:15:00,10245.0,10268.75,10248.08,10261.57,19.54062643
259,19:20:00,10256.46,10263.61,10261.57,10258.31,17.04786876
258,19:25:00,10245.0,10258.3,10258.3,10245.89,11.69294739
257,19:30:00,10245.37,10255.45,10246.01,10255.44,13.26918756
256,19:35:00,10250.19,10256.28,10255.45,10252.0,14.38666221
255,19:40:00,10245.0,10252.0,10251.99,10245.01,15.05588522
254,19:45:00,10245.0,10245.01,10245.01,10245.01,5.46441195
253,19:50:00,10245.0,10257.98,10245.01,10257.0,23.25107825
252,19:55:00,10256.76,10265.45,10256.99,10265.44,6.12705961
251,20:00:00,10256.12,10270.07,10265.44,10260.16,14.06199504
250,20:05:00,10259.44,10275.01,10260.15,10264.55,11.30331716
249,20:10:00,10262.79,10265.0,10264.56,10264.06,3.89219177
248,20:15:00,10263.77,10273.06,10264.06,10272.09,7.79163083
247,20:20:00,10265.4,10272.36,10272.09,10268.79,8.68329806
246,20:25:00,10268.8,10283.25,10268.8,10283.25,12.30995625
245,20:30:00,10268.82,10283.25,10283.25,10271.52,27.56163039
244,20:35:00,10229.12,10272.76,10271.52,10234.05,90.15312555
243,20:40:00,10211.65,10238.15,10236.0,10231.99,67.28194165
242,20:45:00,10216.2,10231.72,10228.17,10217.49,9.2114671
241,20:50:00,10217.49,10220.3,10217.5,10219.7,7.18457042
240,20:55:00,10219.69,10261.21,10219.7,10261.21,39.39673548
239,21:00:00,10236.35,10265.6,10261.21,10237.96,14.98395602
238,21:05:00,10235.0,10258.25,10237.95,10236.25,29.51121067
237,21:10:00,10220.16,10246.23,10239.59,10230.0,13.54871171
236,21:15:00,10227.78,10235.0,10229.99,10227.8,17.382403200000002
235,21:20:00,10205.56,10234.36,10228.73,10205.59,35.44489859
234,21:25:00,10199.05,10222.62,10205.59,10219.49,22.80460255
233,21:30:00,10196.46,10223.18,10218.24,10222.26,29.35473122
232,21:35:00,10214.92,10224.74,10221.17,10222.0,7.96872016
231,21:40:00,10222.0,10274.42,10222.0,10224.27,53.14408525
230,21:45:00,10216.66,10236.6,10228.88,10224.3,12.87158824
229,21:50:00,10224.29,10238.55,10224.29,10227.76,8.14168043
228,21:55:00,10221.0,10227.71,10227.7,10221.81,14.16263812
